url,file_name,title
https://www.sherlock.stanford.edu/docs/,index.md,Home
https://www.sherlock.stanford.edu/docs/concepts/,concepts.md,Concepts
https://www.sherlock.stanford.edu/docs/glossary/,glossary.md,Glossary
https://www.sherlock.stanford.edu/docs/orders/,orders.md,Ordering nodes
https://www.sherlock.stanford.edu/docs/tech/,index-1.md,Tech specs
https://www.sherlock.stanford.edu/docs/tech/facts/,facts.md,Facts
https://www.sherlock.stanford.edu/docs/tech/status/,status.md,Status
https://www.sherlock.stanford.edu/docs/credits/,credits.md,Credits
https://www.sherlock.stanford.edu/docs/getting-started/,index-2.md,Getting Started
https://www.sherlock.stanford.edu/docs/getting-started/connecting/,connecting.md,Connecting
https://www.sherlock.stanford.edu/docs/getting-started/submitting/,submitting.md,Submitting jobs
https://www.sherlock.stanford.edu/docs/user-guide/running-jobs/,running-jobs.md,Running jobs
https://www.sherlock.stanford.edu/docs/user-guide/ondemand/,ondemand.md,OnDemand
https://www.sherlock.stanford.edu/docs/user-guide/gpu/,gpu.md,GPU nodes
https://www.sherlock.stanford.edu/docs/user-guide/troubleshoot/,troubleshoot.md,Troubleshooting
https://www.sherlock.stanford.edu/docs/storage/,index-3.md,Storage
https://www.sherlock.stanford.edu/docs/storage/filesystems/,filesystems.md,Filesystems
https://www.sherlock.stanford.edu/docs/storage/data-sharing/,data-sharing.md,Data sharing
https://www.sherlock.stanford.edu/docs/storage/data-protection/,data-protection.md,Data protection
https://www.sherlock.stanford.edu/docs/storage/data-transfer/,data-transfer.md,Data transfer
https://www.sherlock.stanford.edu/docs/software/,index-4.md,Software
https://www.sherlock.stanford.edu/docs/software/modules/,modules.md,Modules
https://www.sherlock.stanford.edu/docs/software/list/,list.md,List
https://www.sherlock.stanford.edu/docs/software/install/,install.md,Installation
https://www.sherlock.stanford.edu/docs/software/containers/,index-5.md,Containers
https://www.sherlock.stanford.edu/docs/software/containers/singularity/,singularity.md,Singularity
https://www.sherlock.stanford.edu/docs/software/using/clustershell/,clustershell.md,ClusterShell
https://www.sherlock.stanford.edu/docs/software/using/R/,R.md,R
https://www.sherlock.stanford.edu/docs/software/using/julia/,julia.md,Julia
https://www.sherlock.stanford.edu/docs/software/using/python/,python.md,Python
https://www.sherlock.stanford.edu/docs/software/using/anaconda/,anaconda.md,Anaconda
https://www.sherlock.stanford.edu/docs/software/using/perl/,perl.md,Perl
https://www.sherlock.stanford.edu/docs/software/using/matlab/,matlab.md,Matlab
https://www.sherlock.stanford.edu/docs/software/using/rclone/,rclone.md,Rclone
https://www.sherlock.stanford.edu/docs/software/using/spark/,spark.md,Spark
https://www.sherlock.stanford.edu/docs/software/using/mariadb/,mariadb.md,MariaDB
https://www.sherlock.stanford.edu/docs/software/using/postgresql/,postgresql.md,PostgreSQL
https://www.sherlock.stanford.edu/docs/software/using/schrodinger/,schrodinger.md,Schrödinger
https://www.sherlock.stanford.edu/docs/software/using/quantum-espresso/,quantum-espresso.md,Quantum Espresso
https://www.sherlock.stanford.edu/docs/advanced-topics/connection/,connection.md,Connection options
https://www.sherlock.stanford.edu/docs/advanced-topics/job-management/,job-management.md,Job management
https://www.sherlock.stanford.edu/docs/advanced-topics/node-features/,node-features.md,Node features
